,architecture,loss,num_classes,degree,latent_size,type,known_variance,static_gamma,chance,variance,house,peppers,barbara,boats
6653,decreasing,psnr,20,4,256,noconstraints,1,1,0,10.0,28.436731338500977,28.523143768310547,28.63589859008789,28.461387634277344
6654,decreasing,psnr,20,4,256,noconstraints,1,1,0,15.0,25.12425994873047,25.011924743652344,24.906482696533203,25.02856063842773
6655,decreasing,psnr,20,4,256,noconstraints,1,1,0,20.0,22.888404846191406,22.589502334594727,22.63069725036621,22.889604568481445
6656,decreasing,psnr,20,4,256,noconstraints,1,1,0,25.0,20.519210815429688,20.499431610107425,20.563419342041016,20.58012008666992
6657,decreasing,psnr,20,4,256,noconstraints,1,1,0,50.0,15.174419403076172,14.987312316894531,14.890357971191406,14.803295135498049
6658,decreasing,psnr,20,4,256,noconstraints,1,1,0,75.0,10.829124450683594,10.803085327148438,10.964370727539062,11.05526351928711
6659,decreasing,psnr,20,4,256,noconstraints,1,1,0,100.0,8.09506607055664,8.11181640625,8.080238342285156,8.124408721923828
6660,decreasing,psnr,20,5,1024,classic,0,1,0,1.0,48.10883331298828,48.1428337097168,48.13702774047852,48.12742233276367
6661,decreasing,psnr,20,5,1024,classic,0,1,0,2.0,42.126220703125,42.137733459472656,42.1207160949707,42.13050842285156
6662,decreasing,psnr,20,5,1024,classic,0,1,0,5.0,34.142425537109375,34.131351470947266,34.1461067199707,34.15217590332031
6663,decreasing,psnr,20,5,1024,classic,0,1,0,10.0,28.153806686401367,28.075098037719727,28.136999130249023,28.125694274902344
6664,decreasing,psnr,20,5,1024,classic,0,1,0,15.0,24.64942169189453,24.589332580566406,24.607139587402344,24.60997200012207
6665,decreasing,psnr,20,5,1024,classic,0,1,0,20.0,22.103174209594727,22.107013702392575,22.102466583251957,22.106142044067383
6666,decreasing,psnr,20,5,1024,classic,0,1,0,25.0,20.143526077270508,20.186206817626957,20.1655387878418,20.152732849121094
6667,decreasing,psnr,20,5,1024,classic,0,1,0,50.0,14.152565002441406,14.150028228759766,14.143341064453123,14.138748168945312
6668,decreasing,psnr,20,5,1024,classic,0,1,0,75.0,10.635555267333984,10.589378356933594,10.63235855102539,10.623779296875
6669,decreasing,psnr,20,5,1024,classic,0,1,0,100.0,8.180004119873047,8.098457336425781,8.134281158447266,8.134666442871094
6670,decreasing,psnr,20,5,1024,classic,1,1,0,1.0,48.134742736816406,48.1435661315918,48.12384033203125,48.13862609863281
6671,decreasing,psnr,20,5,1024,classic,1,1,0,2.0,42.06627655029297,42.06489181518555,42.103981018066406,42.07854843139648
6672,decreasing,psnr,20,5,1024,classic,1,1,0,5.0,34.102996826171875,34.113616943359375,34.163795471191406,34.16802978515625
